Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
140,128842,1,0,8.0,1,0,7,4,4,4,3,4,1,1,3,3,3,4,1,3,1,3,2,satisfied
146,68886,0,0,7.0,0,1,6,1,1,1,1,3,5,5,5,5,5,5,5,5,3,0,1,satisfied
147,72413,0,0,6.0,0,1,6,2,2,2,2,2,4,4,3,3,4,3,3,3,4,0,1,satisfied
148,73604,1,0,8.0,0,1,8,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0,satisfied
150,105708,1,0,6.0,0,1,8,5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,2,satisfied
154,8346,1,0,7.0,0,1,8,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0,satisfied
158,74030,1,0,8.0,0,1,3,2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0,satisfied
160,73924,1,0,8.0,0,1,7,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0,satisfied
161,76073,1,0,6.0,0,1,2,2,2,4,2,2,5,4,3,3,4,3,4,3,3,3,2,satisfied
162,104623,0,1,2.0,0,0,2,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0,satisfied
164,121929,0,0,7.0,0,1,6,2,5,2,2,2,4,5,5,5,5,5,3,5,4,0,0,satisfied
165,30704,1,0,2.0,0,2,1,5,5,5,5,5,5,5,5,1,4,5,1,3,5,2,3,satisfied
168,13884,0,0,7.0,0,0,1,5,1,1,1,5,5,5,1,1,1,4,5,4,5,5,5,satisfied
169,87681,1,0,1.0,0,0,1,5,1,4,1,5,5,4,5,5,1,2,5,3,5,2,2,satisfied
170,81719,1,0,5.0,0,1,5,3,3,3,3,4,4,5,4,4,4,4,4,4,3,1,0,satisfied
171,85554,1,0,7.0,0,1,0,0,1,1,1,3,4,5,4,4,4,4,4,4,5,0,0,satisfied
173,101275,0,0,8.0,0,1,8,5,5,5,5,2,4,5,4,4,4,4,5,4,5,3,3,satisfied
174,95982,1,0,2.0,0,1,8,4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0,satisfied
176,76449,0,0,8.0,0,1,6,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0,satisfied
178,69692,0,0,6.0,0,1,4,3,3,5,3,4,4,4,5,4,5,4,4,3,4,5,5,satisfied
180,52168,1,0,7.0,0,0,0,5,3,3,3,2,1,1,5,5,5,5,3,5,4,0,0,satisfied
183,28852,1,0,6.0,0,1,8,1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0,satisfied
186,100249,0,0,6.0,0,1,3,2,2,2,2,4,4,4,4,4,4,4,3,4,4,1,0,satisfied
189,25542,0,0,8.0,1,0,1,4,5,3,4,1,3,1,1,5,3,4,5,4,1,1,0,satisfied
194,108006,1,0,5.0,1,0,0,4,0,5,3,2,5,2,2,4,2,4,3,5,2,0,0,satisfied
196,59508,0,0,6.0,0,1,6,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0,satisfied
200,114039,1,0,7.0,0,1,8,5,5,5,5,5,5,5,5,5,5,5,3,5,4,3,0,satisfied
201,66800,1,0,6.0,0,1,9,5,5,5,5,5,4,4,5,5,5,5,5,5,3,0,0,satisfied
203,47057,0,0,2.0,0,1,8,4,4,1,4,5,5,5,5,1,3,1,3,3,5,0,1,satisfied
207,93019,1,0,7.0,0,1,8,2,2,2,2,2,1,2,5,5,5,5,2,5,3,0,0,satisfied
210,85879,1,0,2.0,0,1,7,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0,satisfied
215,23328,1,0,5.0,0,1,8,2,2,2,2,1,1,5,4,4,4,4,4,4,1,0,0,satisfied
218,42917,0,0,7.0,0,2,0,5,1,2,1,4,5,4,4,5,5,2,4,3,4,0,0,satisfied
222,111570,1,0,6.0,0,1,8,2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0,satisfied
225,129585,0,0,7.0,0,1,0,3,4,3,3,4,5,5,4,4,4,4,5,4,3,2,0,satisfied
230,77512,0,0,7.0,0,1,5,1,1,3,1,3,5,4,5,5,5,5,4,5,4,0,0,satisfied
231,31631,1,0,2.0,0,1,2,5,5,5,5,5,5,5,5,2,3,1,1,2,5,2,1,satisfied
232,38913,0,0,8.0,0,1,6,4,4,4,4,1,4,5,4,4,4,4,1,4,2,0,0,satisfied
235,12259,0,0,7.0,0,1,6,4,5,4,4,4,2,3,4,4,4,4,2,4,1,0,0,satisfied
239,15174,0,1,2.0,0,0,1,5,0,5,2,4,5,4,4,3,5,5,3,2,4,3,1,satisfied
241,18128,0,0,2.0,0,1,8,5,5,5,5,5,5,3,5,2,5,4,3,3,5,2,0,satisfied
245,57995,1,0,7.0,0,1,6,1,1,1,1,3,5,5,5,5,5,5,4,5,5,0,0,satisfied
246,146,0,0,8.0,0,1,7,4,4,4,4,2,4,5,4,4,4,4,3,4,3,4,4,satisfied
248,42774,0,0,2.0,0,2,1,4,1,5,5,4,4,4,4,2,4,2,3,4,4,3,1,satisfied
253,31358,1,0,4.0,0,1,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,0,2,satisfied
254,92805,1,0,7.0,0,1,5,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0,satisfied
259,28135,0,0,7.0,0,0,1,4,2,4,4,4,4,4,4,4,4,3,5,5,4,0,0,satisfied
260,55871,1,0,2.0,0,1,8,2,2,2,2,5,5,5,5,3,4,4,5,4,5,4,3,satisfied
264,117547,0,0,8.0,0,1,5,2,2,2,2,5,5,5,5,5,5,5,4,5,4,0,0,satisfied
267,45098,1,0,4.0,0,1,6,2,2,5,2,1,2,1,5,5,5,3,3,5,3,1,1,satisfied
268,43810,1,1,2.0,0,1,0,4,0,5,3,4,5,4,4,4,2,5,4,4,4,0,2,satisfied
269,22981,1,0,8.0,0,0,0,4,3,3,3,2,5,1,5,5,4,5,3,5,1,0,3,satisfied
270,68134,0,0,8.0,0,1,2,1,1,1,1,5,5,5,3,3,3,3,5,3,3,0,0,satisfied
275,84299,0,0,6.0,0,1,8,0,1,1,2,5,5,4,3,3,3,3,5,3,5,4,4,satisfied
276,103793,0,0,3.0,0,1,8,1,1,1,1,5,4,5,5,5,5,4,5,5,5,1,0,satisfied
277,35032,1,0,6.0,0,0,2,5,1,4,1,3,3,3,5,5,5,5,3,5,1,0,0,satisfied
278,103291,0,0,5.0,0,1,6,3,3,3,3,4,4,4,4,3,5,5,4,5,4,5,5,satisfied
279,93909,0,0,7.0,0,1,8,2,2,2,2,2,4,5,5,5,5,5,4,5,4,0,0,satisfied
287,115031,1,1,5.0,0,1,0,5,5,5,4,4,5,4,4,4,4,5,3,4,4,2,0,satisfied
292,10430,0,1,5.0,0,1,0,4,4,4,3,4,4,2,4,3,4,4,4,4,4,0,1,satisfied
294,55236,0,0,7.0,0,1,7,4,4,4,4,2,4,4,4,4,4,4,5,4,5,0,0,satisfied
295,126917,1,0,4.0,0,1,8,2,2,2,2,5,5,5,5,5,5,5,5,5,3,4,4,satisfied
296,112190,0,0,8.0,0,1,7,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,1,satisfied
298,2201,0,0,8.0,1,0,1,4,4,4,5,4,4,4,4,3,4,5,5,4,4,0,0,satisfied
299,53687,0,0,4.0,0,0,4,4,5,5,5,4,4,4,4,2,1,2,2,3,4,1,0,satisfied
300,47168,0,0,6.0,0,1,8,3,3,2,3,4,3,3,4,4,3,4,3,4,5,2,0,satisfied
301,8782,0,0,7.0,0,1,8,2,2,2,2,3,5,5,4,4,4,4,4,4,3,1,0,satisfied
303,663,1,0,7.0,0,1,8,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,satisfied
307,29479,0,0,7.0,0,0,3,4,5,5,5,4,4,4,4,3,5,4,1,2,4,0,0,satisfied
308,105096,1,0,3.0,0,1,8,2,2,2,2,4,4,4,4,3,4,5,3,4,4,3,2,satisfied
309,94421,1,0,3.0,0,1,7,0,1,1,1,2,2,2,2,5,3,5,3,4,2,4,3,satisfied
311,47795,0,0,6.0,0,1,8,5,5,5,5,5,5,4,4,4,4,4,4,4,3,4,4,satisfied
312,125451,1,0,8.0,0,1,8,5,5,5,5,5,5,5,3,4,4,4,5,3,5,2,4,satisfied
313,96114,0,0,7.0,0,1,4,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0,0,satisfied
315,106258,0,0,3.0,0,1,5,3,3,3,3,5,4,5,5,4,3,4,3,5,5,0,0,satisfied
317,100136,0,1,5.0,0,1,1,4,4,4,4,4,4,4,4,4,4,4,4,5,4,0,0,satisfied
319,124301,0,1,2.0,0,1,0,5,0,5,1,2,5,2,2,5,4,5,3,4,2,0,0,satisfied
321,121855,1,0,8.0,0,1,1,5,5,5,5,5,5,4,5,5,5,5,4,5,3,1,0,satisfied
324,39916,0,0,2.0,0,1,3,1,1,3,1,5,5,5,5,3,2,4,5,5,5,0,0,satisfied
327,63771,0,0,8.0,0,1,6,3,3,3,3,3,4,5,4,4,4,4,4,4,5,3,0,satisfied
331,17379,1,0,6.0,0,1,6,5,5,5,5,5,5,3,5,5,5,5,2,5,3,0,0,satisfied
333,104578,0,1,2.0,0,1,0,5,3,5,4,1,5,1,1,5,2,4,4,4,1,0,0,satisfied
338,30231,1,0,7.0,0,0,2,2,4,4,4,4,2,4,2,2,2,2,5,2,1,2,1,satisfied
345,83683,1,1,2.0,0,0,1,0,0,1,1,5,1,5,5,4,2,4,2,1,5,0,0,satisfied
347,83191,1,0,7.0,0,1,3,5,5,5,5,2,5,4,5,5,5,5,5,5,3,0,1,satisfied
348,110103,0,0,8.0,0,1,6,1,1,1,1,4,5,5,5,5,5,5,4,5,4,3,1,satisfied
349,57026,1,0,7.0,0,1,7,3,3,3,3,5,3,5,3,3,3,3,3,3,5,4,3,satisfied
351,55470,1,0,4.0,0,1,6,2,2,2,2,3,3,5,5,5,4,5,3,5,3,2,0,satisfied
353,129138,0,0,7.0,0,1,1,4,4,4,4,4,5,4,5,5,5,5,3,5,4,0,1,satisfied
354,2034,1,0,8.0,0,1,2,2,2,2,2,4,4,5,2,2,2,2,5,2,4,0,1,satisfied
355,37286,0,0,5.0,0,0,3,5,3,3,3,5,5,5,5,3,2,4,5,2,5,3,2,satisfied
358,121598,0,0,1.0,1,0,2,5,5,4,2,4,4,4,4,5,4,5,5,5,4,3,3,satisfied
361,85600,1,1,2.0,0,0,0,0,4,0,4,5,0,5,5,5,1,2,4,3,5,2,1,satisfied
362,10833,0,0,2.0,0,1,7,2,2,2,2,4,4,4,4,5,3,4,4,4,4,1,0,satisfied
363,81553,0,0,8.0,0,1,2,3,3,3,3,5,5,5,3,3,3,3,5,3,5,0,0,satisfied
364,24745,0,0,8.0,0,0,1,4,3,3,3,4,4,4,4,4,3,3,1,4,4,0,1,satisfied
365,58871,1,0,7.0,0,1,2,3,3,3,3,5,4,4,4,4,4,4,3,4,4,0,0,satisfied
366,68900,0,0,8.0,1,0,3,0,5,0,3,5,0,5,5,4,4,5,5,5,5,0,0,satisfied
367,31952,1,0,8.0,0,1,0,5,5,4,5,5,5,4,5,5,5,5,5,5,4,0,0,satisfied
368,98758,1,0,7.0,0,1,6,3,3,3,3,2,5,4,5,5,5,5,5,5,4,0,0,satisfied
369,59963,0,0,8.0,0,1,8,5,5,5,5,2,4,2,4,4,4,4,4,4,3,0,1,satisfied
370,38236,1,0,8.0,0,1,8,3,3,3,3,2,5,4,3,3,4,3,3,3,5,0,0,satisfied
371,43811,1,0,6.0,0,1,0,1,1,1,1,5,4,5,5,5,5,4,5,5,5,0,0,satisfied
373,88293,1,0,8.0,0,1,1,1,1,1,1,3,4,4,4,4,4,4,3,4,3,0,0,satisfied
374,37225,0,0,7.0,0,1,6,2,2,2,2,3,4,5,4,4,4,4,5,4,4,3,3,satisfied
375,43935,1,0,5.0,0,2,0,5,3,5,3,5,5,5,5,5,1,5,3,5,5,0,0,satisfied
376,48899,0,0,4.0,0,0,0,4,2,2,2,4,4,4,4,2,5,5,5,3,4,0,0,satisfied
379,85109,0,0,7.0,0,1,9,4,4,4,4,3,4,4,5,5,5,5,5,5,4,0,0,satisfied
383,81441,0,0,7.0,0,1,7,3,3,3,3,4,4,5,4,4,4,4,5,4,3,0,0,satisfied
385,94317,0,0,2.0,0,1,1,4,4,4,4,4,4,4,4,3,2,5,4,5,4,0,0,satisfied
386,42242,1,0,8.0,0,1,0,2,2,2,2,5,1,5,4,4,4,4,4,4,3,0,0,satisfied
387,8085,1,0,7.0,0,1,1,1,1,1,1,4,5,5,4,4,4,4,5,4,3,0,1,satisfied
388,42926,1,0,6.0,0,1,9,3,3,3,3,3,5,5,4,4,4,4,5,4,4,0,0,satisfied
389,114663,1,0,4.0,0,1,0,5,5,5,5,2,4,5,4,4,4,4,3,4,5,4,4,satisfied
390,63597,1,0,3.0,0,1,7,4,4,4,4,4,4,4,4,5,2,5,3,4,4,0,0,satisfied
398,17284,0,0,3.0,0,1,8,1,1,1,1,5,5,5,5,4,2,5,1,5,5,0,0,satisfied
400,83974,1,0,6.0,0,1,0,2,5,2,2,2,5,4,5,5,5,5,5,5,3,0,0,satisfied
402,37834,0,0,3.0,0,1,7,5,5,4,5,5,5,5,5,5,2,1,3,2,5,3,4,satisfied
403,25904,1,0,7.0,0,2,2,4,2,2,2,5,5,3,4,4,4,4,2,4,5,0,0,satisfied
406,126642,1,0,4.0,0,1,1,4,4,4,4,3,5,5,2,2,2,2,5,2,4,0,0,satisfied
408,18983,0,0,8.0,0,1,8,4,4,4,4,2,3,3,5,5,5,5,4,5,3,4,4,satisfied
409,42803,1,0,1.0,0,0,1,0,3,0,3,4,3,4,4,4,5,5,5,5,4,0,0,satisfied
411,5441,0,0,5.0,0,1,5,3,5,3,3,2,4,4,5,5,5,5,5,5,5,0,3,satisfied
412,18473,1,0,5.0,0,1,0,5,5,5,5,1,1,3,4,4,4,4,5,4,5,0,0,satisfied
414,68782,0,1,2.0,0,0,3,2,2,2,3,3,2,3,3,3,5,5,5,4,3,0,0,satisfied
415,98247,1,0,5.0,0,1,7,5,4,5,5,2,4,4,4,4,4,4,4,4,4,4,4,satisfied
420,65894,1,1,2.0,0,1,1,0,0,0,3,3,0,1,3,4,2,4,5,4,3,4,4,satisfied
421,67702,0,0,8.0,0,1,9,5,5,5,5,3,4,5,4,4,3,4,5,4,3,0,0,satisfied
422,55982,0,0,5.0,0,1,6,2,2,2,2,4,3,4,5,5,5,5,4,5,5,0,0,satisfied
427,14155,0,0,4.0,0,2,1,4,3,3,3,4,4,4,4,4,5,2,1,3,4,0,0,satisfied
428,123078,0,0,7.0,0,1,8,3,3,3,3,3,5,4,5,5,5,5,3,5,5,0,0,satisfied
430,41799,1,0,4.0,0,1,0,3,3,3,3,4,4,3,4,4,4,4,1,4,1,0,0,satisfied
431,47037,0,0,2.0,0,1,6,1,1,1,1,5,5,5,5,4,4,2,3,3,5,0,0,satisfied
433,35221,0,0,3.0,0,1,7,5,5,5,5,2,2,2,2,5,3,3,3,1,2,0,0,satisfied
435,90041,1,0,5.0,0,1,8,5,5,5,5,2,5,4,2,2,2,2,3,2,4,1,0,satisfied
440,83598,0,0,8.0,0,1,8,2,2,2,2,4,5,4,5,5,5,5,3,5,5,4,4,satisfied
441,117725,0,0,6.0,0,1,2,2,2,2,2,3,5,4,4,4,4,4,3,4,4,2,0,satisfied
447,4749,0,1,6.0,1,0,2,5,1,5,3,4,1,4,4,4,4,4,2,4,4,0,0,satisfied
448,9559,1,1,6.0,0,1,0,5,5,5,5,4,5,4,4,4,5,4,4,4,4,0,0,satisfied
450,114915,0,0,7.0,0,1,8,2,2,2,2,5,5,4,5,5,5,5,5,5,5,0,0,satisfied
451,66011,0,0,3.0,0,1,8,4,4,4,4,4,4,4,4,3,3,4,3,5,4,4,4,satisfied
452,60450,1,0,7.0,0,1,8,1,1,1,1,2,5,4,5,5,5,5,3,5,3,0,0,satisfied
454,62153,0,0,5.0,0,1,7,5,5,5,5,5,5,4,5,5,5,5,5,5,3,0,0,satisfied
455,39499,0,0,2.0,0,1,8,5,5,5,5,4,4,4,4,3,2,5,4,4,4,0,0,satisfied
458,96830,0,0,5.0,0,1,8,5,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,satisfied
460,69098,0,0,8.0,0,1,4,1,1,3,1,5,5,4,5,5,5,5,4,5,5,0,0,satisfied
463,109465,1,0,2.0,0,1,8,5,5,5,5,4,4,4,4,3,5,5,3,5,4,0,0,satisfied
465,98908,0,0,6.0,0,1,8,2,2,2,2,4,5,5,4,4,4,4,5,4,3,0,0,satisfied
467,115331,0,0,6.0,0,1,8,4,4,4,4,3,5,4,4,4,4,4,4,4,3,0,0,satisfied
471,36244,0,0,7.0,0,1,2,1,1,1,1,1,3,2,5,5,5,5,1,5,3,0,0,satisfied
473,111496,1,0,6.0,0,1,9,4,4,4,4,3,5,5,4,4,4,4,3,4,3,0,0,satisfied
475,19478,1,0,8.0,0,1,0,5,5,5,5,1,1,1,5,5,5,3,4,5,5,4,5,satisfied
476,79579,1,0,4.0,0,1,2,4,4,4,4,4,4,4,3,3,3,3,3,3,3,1,0,satisfied
477,26935,1,0,2.0,0,0,7,4,5,5,5,4,5,5,4,3,2,5,4,5,4,1,0,satisfied
478,81010,1,0,7.0,0,1,0,0,0,0,3,3,4,5,3,3,3,3,4,3,5,0,3,satisfied
479,32348,1,0,4.0,0,1,0,3,3,4,3,2,2,5,4,4,5,3,4,4,3,0,1,satisfied
481,88118,0,0,8.0,0,1,1,5,5,5,5,5,4,5,4,4,4,4,4,4,4,2,1,satisfied
482,5622,0,0,8.0,1,0,1,4,3,4,1,4,4,4,1,2,5,2,4,5,4,5,5,satisfied
483,97335,0,0,5.0,0,1,8,1,1,1,1,4,5,4,4,4,5,4,4,4,3,3,1,satisfied
487,42929,0,0,6.0,0,1,0,5,5,5,5,3,5,4,5,5,5,5,3,5,3,3,2,satisfied
491,16040,0,0,8.0,0,2,0,2,4,4,4,2,2,2,2,1,1,3,3,4,2,3,0,satisfied
492,27289,0,0,4.0,0,1,8,4,4,4,4,3,5,4,5,5,5,5,5,5,1,1,0,satisfied
494,120723,1,0,7.0,0,1,0,4,4,2,4,3,4,4,4,4,4,4,4,4,3,0,0,satisfied
500,30294,1,0,2.0,0,1,5,4,4,4,4,5,5,5,5,2,3,4,4,5,5,0,1,satisfied
501,99081,0,0,6.0,0,1,8,4,4,4,4,4,4,4,4,4,4,4,4,4,5,0,0,satisfied
510,45421,1,0,8.0,0,0,1,4,4,4,4,4,1,3,4,4,4,4,5,4,3,3,3,satisfied
511,51952,0,0,2.0,0,1,2,2,5,2,2,4,4,4,4,5,1,1,4,2,4,0,1,satisfied
514,128651,0,1,2.0,0,0,5,5,4,4,1,5,1,1,4,4,5,4,1,3,1,0,0,satisfied
515,65790,1,1,5.0,0,1,4,5,5,5,1,2,5,2,2,4,5,5,3,4,2,1,0,satisfied
517,94138,0,0,8.0,0,1,6,4,4,1,4,3,4,5,4,4,4,5,4,4,5,1,0,satisfied
522,36503,1,0,7.0,0,1,7,2,2,2,2,3,1,3,4,4,4,4,3,4,5,1,0,satisfied
524,51581,1,0,5.0,0,1,0,2,2,5,2,4,5,3,4,4,4,4,3,4,3,0,0,satisfied
525,77979,1,0,8.0,0,1,0,3,3,3,3,4,4,4,4,4,4,4,4,4,3,0,0,satisfied
530,6133,0,0,7.0,0,1,8,1,1,5,1,3,5,4,3,3,3,3,5,3,3,0,0,satisfied
531,63668,1,0,8.0,1,0,7,5,2,5,4,2,3,4,3,3,5,3,2,3,2,2,0,satisfied
534,9170,1,0,8.0,0,1,8,3,5,3,3,3,5,4,4,4,5,4,3,4,3,0,0,satisfied
535,105685,0,0,8.0,0,1,8,2,2,2,2,3,5,5,5,5,5,5,4,5,4,0,0,satisfied
537,16311,0,0,2.0,0,1,8,2,2,2,2,5,4,5,5,2,1,5,3,5,5,4,4,satisfied
539,19381,0,0,2.0,0,1,6,2,2,2,2,5,5,5,5,3,2,1,4,3,5,4,5,satisfied
540,94026,0,1,5.0,0,1,0,4,4,4,2,4,4,3,4,3,4,5,4,5,4,0,0,satisfied
541,122163,0,0,8.0,0,1,1,2,2,2,2,5,5,5,4,4,4,4,4,4,5,0,0,satisfied
542,7179,1,0,5.0,0,1,8,5,5,5,5,4,5,5,5,5,4,5,5,5,4,2,4,satisfied
543,20625,0,0,7.0,0,0,2,5,2,2,2,5,5,5,5,4,1,1,4,5,5,0,0,satisfied
544,124273,1,1,2.0,0,1,0,5,0,5,1,3,5,4,3,5,3,4,4,5,3,0,0,satisfied
546,23359,1,0,5.0,0,2,2,4,2,4,2,4,4,4,4,4,3,2,4,4,4,4,4,satisfied
547,80613,1,0,5.0,0,1,7,5,5,3,5,3,4,4,5,5,5,5,3,5,5,0,0,satisfied
